"NO.","Nama Lengkap Bank","Nama Bank","Sandi Bank"
"86","PT BPD KALIMANTAN BARAT","BANK KALBAR","123"
"87","PT BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA","BANK KALTIMTARA","124"
"88","PT BPD KALIMANTAN TENGAH","BANK KALTENG","125"
"89","PT BPD SULAWESI SELATAN DAN SULAWESI BARAT","BANK SULSELBAR","126"
"90","PT BPD SULAWESI UTARA DAN  GORONTALO","BANK SULUTGO","127"
"91","PT BANK NTB SYARIAH","BANK NTB","128"
"92","PT BPD BALI","BANK BALI","129"
"93","PT BPD NUSA TENGGARA TIMUR","BANK NTT","130"
"94","PT BPD MALUKU DAN MALUKU UTARA","BANK MALUKU MALUT","131"
"95","PT BPD PAPUA","BANK PAPUA","132"
"96","PT BPD BENGKULU","BANK BENGKULU","133"
"97","PT BPD SULAWESI TENGAH","BANK SULTENG","134"
"98","PT BPD SULAWESI TENGGARA","BANK SULTRA","135"
"99","PT BPD BANTEN Tbk","BANK BANTEN","137"
"100","CITIBANK N.A.","CITIBANK N.A","031"
"101","JP MORGAN CHASE BANK NA","JP MORGAN CHASE BANK NA","032"
"102","BANK OF AMERICA N.A","BANK OF AMERICA N.A","033"
"103","BANGKOK BANK PCL","BANGKOK BANK PCL","040"
"104","MUFG BANK LTD","MUFG BANK LTD","042"
"105","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK","050"
"106","DEUTSCHE BANK AG","DEUTSCHE BANK AG","067"
"107","BANK OF CHINA (HONG KONG) LIMITED","BANK OF CHINA (HONG KONG) LIMITED","069"
"","","",""
